mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
15.417,0.8809999999999999,0.182,0.002,0.309,0.0,0.4920000000000001,23.835,0.0
15.557,0.861,0.165,0.002,0.332,0.0,0.499,23.735,0.0
15.69,0.866,0.192,0.002,0.327,0.0,0.521,23.754,0.0
15.462,0.878,0.157,0.002,0.29600000000000004,0.0,0.456,23.835,0.0
15.739,0.878,0.17800000000000002,0.002,0.303,0.0,0.483,24.003,0.0
15.491,0.884,0.19899999999999998,0.002,0.293,0.0,0.494,23.968000000000004,0.0
15.755,0.8759999999999999,0.153,0.002,0.335,0.0,0.49,24.205,0.0
15.621,0.8809999999999999,0.16699999999999998,0.002,0.3,0.0,0.469,23.824,0.0
15.754000000000001,0.87,0.128,0.002,0.304,0.0,0.435,23.984,0.0
15.748,0.8859999999999999,0.159,0.002,0.28800000000000003,0.0,0.44799999999999995,23.778000000000002,0.0
15.592,0.8809999999999999,0.177,0.002,0.306,0.0,0.486,23.74,0.0
15.51,0.888,0.17600000000000002,0.002,0.27899999999999997,0.0,0.457,23.619,0.0
15.412,0.8809999999999999,0.201,0.002,0.306,0.0,0.509,23.603,0.0
15.450999999999999,0.888,0.179,0.002,0.27399999999999997,0.0,0.456,23.55,0.0
15.982000000000001,0.893,0.195,0.002,0.275,0.0,0.47200000000000003,23.646,0.0
15.885,0.8859999999999999,0.132,0.002,0.284,0.0,0.418,23.584,0.0
16.063,0.8759999999999999,0.157,0.002,0.303,0.0,0.462,23.75800000000001,0.0
16.090999999999998,0.872,0.177,0.002,0.299,0.0,0.478,23.623,0.0
15.886,0.898,0.152,0.002,0.261,0.0,0.415,23.658,0.0
16.055999999999994,0.878,0.18,0.002,0.306,0.0,0.48700000000000004,23.785,0.0
16.24,0.883,0.157,0.002,0.28600000000000003,0.0,0.445,23.732,0.0
16.336,0.893,0.161,0.002,0.273,0.0,0.436,23.818,0.0
16.094,0.892,0.14400000000000002,0.002,0.274,0.0,0.42,45.286,0.0
15.862,0.889,0.158,0.002,0.27,0.0,0.43,44.95,0.0
15.879000000000001,0.882,0.158,0.002,0.311,0.0,0.47100000000000003,24.984,0.0
15.894,0.888,0.16,0.002,0.292,0.0,0.45399999999999996,24.478,0.0
16.477999999999998,0.898,0.145,0.002,0.261,0.0,0.409,24.434,0.0
16.206,0.894,0.155,0.002,0.271,0.0,0.429,24.493000000000002,0.0
16.565,0.883,0.20800000000000002,0.002,0.28600000000000003,0.0,0.496,24.416999999999998,0.0
15.788,0.892,0.131,0.002,0.273,0.0,0.406,24.456999999999997,0.0
16.528,0.889,0.183,0.002,0.282,0.0,0.466,24.483,0.0
16.480999999999998,0.89,0.142,0.002,0.273,0.0,0.41700000000000004,24.445999999999998,0.0
16.317,0.887,0.159,0.002,0.266,0.0,0.4270000000000001,24.483,0.0
16.537,0.884,0.155,0.002,0.29100000000000004,0.0,0.449,24.324,0.0
